id_mutation;Date_mutation;Nature_mutation;valeur_fonciere;id_bien_immo
738;08/01/2020;Vente;93500;738
739;08/01/2020;Vente;142000;739
740;08/01/2020;Vente;36900;740
741;08/01/2020;Vente;145000;741
742;08/01/2020;Vente;45000;742
743;08/01/2020;Vente;157000;743
744;08/01/2020;Vente;243010;744
745;08/01/2020;Vente;155490;745
746;08/01/2020;Vente;235294;746
747;08/01/2020;Vente;740000;747
748;08/01/2020;Vente;254000;748
749;08/01/2020;Vente;119000;749
750;08/01/2020;Vente;26500;750
751;08/01/2020;Vente;17000;751
752;08/01/2020;Vente;221775;752
753;08/01/2020;Vente;105000;753
754;08/01/2020;Vente;236538;754
755;08/01/2020;Vente;572500;755
756;08/01/2020;Vente;370000;756
757;08/01/2020;Vente;648600;757
758;08/01/2020;Vente;879000;758
759;08/01/2020;Vente;432000;759
760;08/01/2020;Vente;1195000;760
761;08/01/2020;Vente;2184420;761
762;08/01/2020;Vente;1493825;762
763;08/01/2020;Vente;871900;763
764;08/01/2020;Vente;215000;764
765;08/01/2020;Vente;744000;765
